"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"D","6","1","278553","Silver","5.999","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/278553"
"D","6","2","13","Catan","5.985","0","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/13"
"D","6","3","118048","Targi","5.97","10","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/118048"
"D","6","4","12942","No Thanks!","5.956","7","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/12942"
"D","6","5","200077","Mint Works","5.941","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/200077"
"D","6","6","11971","Cockroach Poker","5.927","6","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/11971"
"D","6","7","147020","Star Realms","5.912","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/147020"
"D","6","8","143741","BANG! The Dice Game","5.898","5","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/143741"
"D","6","9","65244","Forbidden Island","5.883","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/65244"
"D","6","10","178900","Codenames","5.869","5","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/178900"
"D","6","11","182631","Star Realms: Colony Wars","5.854","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/182631"
"D","6","12","811","Rummikub","5.84","5","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/811"
"D","6","13","96260","Dominant Species: The Card Game","5.825","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/96260"
"D","6","14","303554","Winter Kingdom","5.811","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/303554"
"D","6","15","269573","Dracarys Dice","5.796","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/269573"
"D","6","16","122298","Morels","5.782","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/122298"
"D","6","17","337070","Arkham Noir: Case #3 – Infinite Gulfs of Darkness","5.767","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/337070"
"D","6","18","105593","Cheating Moth","5.753","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/105593"
"D","6","19","376747","Deep Dive","5.738","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/376747"
"D","6","20","172225","Exploding Kittens","5.724","1","True","False","False","False","True","OwnedToExit","","","https://boardgamegeek.com/boardgame/172225"
"D","6","21","345088","Founders of Teotihuacan","5.709","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/345088"
"D","6","22","160968","Homeland: The Game","5.695","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/160968"
